REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
75;33091897;CE CORONEL PM MARCUS JARDIM;00.800.534/0001-00;0; R$ 2.374,40 ;2021NE01526;2021NL01396;2021PD01764;IMPEDIDA
75;;SÃO GONÇALO;;; R$ 691.411,40 ;;;;
ITEM;código;TANGUÁ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33052182;CE Antonio Francisco Leal;00.872.397/0001-01;6856 - 0000004324; R$ 8.864,00 ;2021NE01514;2021NL01384;2021PD01746;2021LB17980
2;33099936;CIEP 252 João Baptista Caffaro;01.943.609/0001-67;6856 - 0000004316; R$ 14.338,60 ;2021NE01514;2021NL01384;2021PD01746;2021LB17980
2;;TANGUÁ;;; R$ 23.202,60 ;;;;
92;;TOTAL DA REGIONAL METROPOLITANA II;;; R$ 861.922,40 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA III;;;;;;;
ITEM;código;RIO DE JANEIRO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33120692;CAIC theophilo de Souza Pinto;11.426.342/0001-94;2043 - 0000384135; R$ 15.884,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
2;33086540;CE Acari ;02.198.871/0001-97;2728 - 0000203017; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
3;33074160;CE Adlai stevenson;12.567.519/0001-35;1107 - 0000056162; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
4;33071535;CE Agripino Grieco ;02.831.366/0001-38;2778 - 0000217999; R$ 3.168,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
5;33074798;CE Amapá ;12.434.113/0001-84;1698 - 0000602434; R$ 3.385,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
6;33085463;CE Anita Garibaldi;13.490.119/0001-31;1699 - 1291351; R$ 5.413,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
7;33140715;CE Antônio Houaiss;11.815.946/0001-22;2778 - 0000218006; R$ 22.575,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
8;33068844;CE Bahia ;30.285.456/0001-06;1240 - 0000042560; R$ 9.165,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
9;33072078;CE Barão de Macaúbas ;02.787.874/0001-66;2921 - 0000168092; R$ 6.177,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
10;33086729;CE Bélgica ;09.536.300/0001-64;2845 - 0000134120; R$ 3.762,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
11;33095078;CE Bernardo de Vasconcelos ;01.688.114/0001-39;0663 - 0001292153; R$ 3.282,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
12;33071543;CE Bolivar;01.725.766/0001-04;2014 - 0000471020; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
13;33070148;CE Brant Horta  ;07.579.889/0001-52;6315 - 0000002615; R$ 3.807,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
14;33075689;CE Cardeal Arcoverde ;15.466.080/0001-42;0818 - 0000072060; R$ 2.701,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
15;33071551;CE Central do Brasil;30.301.816/0001-16;2014 - 0000471070; R$ 18.090,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
16;33075174;CE Charles Chaplin;11.461.018/0001-07;0818 - 0000061182; R$ 1.778,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
17;33070156;CE Chile;13.100.850/0001-03;2912 - 0000204730; R$ 4.377,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
18;33075182;CE Cidade de Lisboa ;16.809.041/0001-63;3485 - 0000172880; R$ 5.083,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
19;33132887;CE Compositor Manacéia José de Andrade ;16.833.636/0001-54;2790 - 0000293164; R$ 10.986,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
20;33075719;CE Conde Afonso Celso ;03.046.168/0001-26;0087 - 0001841289; R$ 3.157,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
21;33070164;CE Conde de Agrolongo;14.482.214/0001-56;1995 - 0000049050; R$ 3.727,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
22;33140030;CE Conde Pereira Carneiro ;12.345.194/0001-46;1107 - 0000054747; R$ 3.886,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
23;33062277;CE Cuba;01.120.330/0001-83;3184 - 0001136410; R$ 2.222,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
24;33086753;CE Cyro Monteiro;02.834.198/0001-34;6872 - 0000001295; R$ 5.254,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
25;33558230;CE Deputado Pedro Fernandes;13.624.849/0001-88;1417 - 0000780600; R$ 23.427,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
26;33132879;CE Dom Helder Câmara ;13.092.419/0001-62;2795 - 0000338907; R$ 16.283,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
27;33085765;CE Dunshee de Abrantes;01.506.026/0001-79;6567 - 0000000728; R$ 3.304,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
28;33070172;CE Embaixador Barros Hurtado ;11.971.468/0001-40;1107 - 0000054194; R$ 2.883,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
29;33071578;CE Francisco Jobim ;02.362.640/0001-77;2778 - 0000217808; R$ 2.438,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
30;33075760;CE Francisco Palheta ;02.860.962/0001-46;2787 - 0000143723; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
31;33088160;CE General Osório;02.804.315/0001-17;2538 - 0000254401; R$ 5.505,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
32;33069921;CE Gomes Freire de Andrade ;29.519.105/0001-33;0663 - 0001292161; R$ 24.391,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
33;33086567;CE Graciliano Ramos ;09.455.813/0001-40;6730 - 0000001520; R$ 3.191,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
34;33086575;CE Guadalupe ;02.830.775/0001-10;6738 - 0000000051; R$ 3.145,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
35;33069930;CE Heitor Lira ;30.316.277/0001-99;1995 - 0000048984; R$ 27.362,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
36;33072248;CE Hispano Brasileiro João Cabral de Melo Neto ;12.991.420/0001-66;3249 - 0001564773; R$ 5.734,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
37;33074038;CE Itália ;02.778.912/0001-14;6731 - 0000000868; R$ 4.831,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
38;33072094;CE João Kopke ;02.813.518/0001-70;1499 - 0000514713; R$ 1.721,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
39;33070199;CE João Marques dos Reis;02.394.508/0001-47;2804 - 0000195600; R$ 4.149,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
40;33088152;CE Jornalista Rodolfo Fernandes ;02.820.623/0001-36;0949 - 0000088900; R$ 18.327,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
41;33140669;CE Jornalista Tim Lopes;13.663.330/0001-09;2043 - 0000403989; R$ 21.995,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
42;33072183;CE José Eduardo de Macedo Soares ;02.625.534/0001-39;2778 - 0000217832; R$ 2.621,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
43;33069948;CE José Marti ;00.968.276/0001-68;2378 - 0000315621; R$ 5.084,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
44;33074046;CE Josué de Castro ;13.007.601/0001-78;3325 - 0000123226; R$ 3.316,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
45;33072205;CE Lauro Sodré;01.771.267/0001-45;2135 - 0000024856; R$ 2.781,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
46;33085480;CE Leonel Azevedo ;02.230.806/0001-00;6689 - 0000004286; R$ 4.794,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
47;33075190;CE Luis de Camões ;12.113.108/0001-70;2772 - 0000167355; R$ 3.065,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
48;33071586;CE Maranhão ;97.548.242/0001-56;0958 - 0000065838; R$ 3.385,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
49;33086583;CE Marechal João Baptista de Mattos ;30.288.567/0001-76;6731 - 0000001546; R$ 22.224,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
50;33146950;CE Maria de Lourdes de Oliveira Lavôr Tia Lavôr;12.993.253/0001-92;6689 - 0000004154; R$ 22.667,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
51;33075204;CE Marques Rebelo ;02.829.440/0001-81;2787 - 0000143677; R$ 3.849,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
52;33074151;CE Mato Grosso ;27.111.111/0001-21;1698 - 0000602310; R$ 14.985,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
53;33088179;CE Max Fleiuss ;03.343.483/0001-15;6730 - 0000001511; R$ 1.960,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
54;33127395;CE Ministro Orozimbo Nonatto;11.503.937/0001-04;3262 - 0001760629; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
55;33074054;CE Nun Álvares Pereira ;13.441.565/0001-56;1107 - 0000065803; R$ 2.108,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
56;33124922;CE Olavo Josino Sales;12.048.410/0001-91;0958 - 0000065749; R$ 4.775,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
57;33075816;CE Olegário Mariano;13.343.115/0001-20;6731 - 0000000884; R$ 4.591,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
58;33126160;CE Olga Benário Prestes;13.766.562/0001-92;2794 - 0000231240; R$ 32.017,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
59;33074232;CE Olímpia do Couto ;02.828.603/0001-01;1698 - 0000602531; R$ 4.046,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
60;33071594;CE Olinto da Gama Botelho ;02.749.908/0001-28;0958 - 0000067628; R$ 9.388,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
61;33140049;CE Oswaldo Teixeira ;16.985.275/0001-61;2784 - 0000260002; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
62;33086796;CE Paraíba;02.799.265/0001-27;6872 - 0000001589; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
63;33075832;CE Paraná ;02.658.849/0001-82;0818 - 0000061166; R$ 1.949,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
64;33073368;CE Pastor Miranda Pinto ;01.732.113/0001-44;3249 - 0001569147; R$ 3.020,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
65;33125740;CE Paulo Freire ;11.971.487/0001-76;2135 - 0000024805; R$ 8.230,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
66;33072280;CE Pernambuco ;17.079.354/0001-76;2921 - 0000237787; R$ 2.701,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
67;33085498;CE Prefeito Mendes de Moraes ;00.705.324/0001-25;6689 - 0000004162; R$ 27.158,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
68;33117950;CE Professor Augusto Motta ;16.611.051/0001-90;2804 - 0000209414; R$ 2.245,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
69;33068852;CE Professor Clóvis Monteiro ;29.519.147/0001-74;2794 - 0000230766; R$ 17.393,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
70;33126267;CE Professor Horácio Macedo;04.437.873/0001-17;2778 - 0000216704; R$ 5.443,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
71;33063907;CE Professor João Borges de Moraes;32.128.344/0001-77;1240 - 402710; R$ 7.477,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
72;33086591;CE Professor Joel de Oliveira ;01.505.928/0001-90;2787 - 0000143944; R$ 8.441,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
73;33075212;CE Professor José Accioli ;02.496.437/0001-93;2379 - 0000281840; R$ 13.188,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
74;33135193;CE Professor José de Souza Marques ;13.649.254/0001-87;1107 - 0000065870; R$ 13.720,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
75;33086605;CE Professor Manoel Maurício de Albuquerque ;12.012.006/0001-68;6872 - 0000001368; R$ 6.926,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
76;33075220;CE Professor Sousa da Silveira ;17.366.438/0001-90;2987 - 0000101362; R$ 2.427,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
77;33126216;CE Professora Diuma Madeira Salles de Souza ;13.269.312/0001-47;6872 - 0000001252; R$ 9.304,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
78;33125317;CE Professora Luiza Marinho ;16.638.121/0001-01;0087 - 0001875779; R$ 17.322,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
79;33126852;CE Professora Maria Nazareth Cavalcanti Silva ;11.439.592/0001-69;2784 - 0000160784; R$ 20.232,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
80;33139156;CE Professora Sônia Regina Scudese Dessimoni Pinto;11.398.276/0001-96;1107 - 0000054526; R$ 10.850,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
81;33069956;CE República de Angola ;11.910.773/0001-21;1995 - 0000049379; R$ 4.001,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
82;33086613;CE República de Cabo Verde ;02.867.757/0001-02;2804 - 0000195634; R$ 1.926,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
83;33069964;CE República de Guiné Bissau ;11.910.751/0001-61;1995 - 0000048992; R$ 4.841,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
84;33071616;CE República do Peru;30.265.144/0001-30;2014 - 0000470988; R$ 6.178,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
85;33074267;CE Rodrigo Otávio Filho ;30.491.476/0001-33;1698 - 0006163890; R$ 11.547,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
86;33126259;CE Rosa de Luxemburgo ;11.609.007/0001-21;1309 - 0000031216; R$ 4.582,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
87;33085838;CE Rotary ;02.658.149/0001-98;6567 - 0000000817; R$ 2.985,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
88;33069026;CE Ruy Barbosa ;11.484.809/0001-52;1240 - 0000046132; R$ 6.941,40 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
89;33075867;CE Santos Dummont ;16.418.150/0001-50;2787 - 0000148296; R$ 2.278,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
90;33145440;CE São João Batista;15.803.327/0001-79;1107 - 0000068713; R$ 3.190,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
91;33075875;CE Senador Francisco Gallotti ;12.345.199/0001-79;1417 - 0000784672; R$ 1.700,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
92;33069034;CE Tenente General Napion;02.466.177/0001-03;1417 - 0000782424; R$ 5.744,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
93;33070326;CE Teresa Cristina;16.933.803/0001-39;1417 - 0000840238; R$ 3.545,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
94;33072370;CE Virgílio de Mello Franco ;11.545.863/0001-60;3434 - 0000128708; R$ 3.180,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
95;33071969;CE Visconde de Cairu ;28.008.332/0001-31;1309 - 0000029904; R$ 20.821,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
96;33075891;CE Waldemiro Potsch;13.155.422/0001-88;2379 - 0000281905; R$ 1.811,80 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
97;33110654;CIEP 092 Frederico Fellini;11.429.723/0001-27;0958 - 0000065714; R$ 14.446,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
98;33096759;CIEP 173 Rainha Nzinga de Angola;04.656.979/0001-01;6731 - 0000003107; R$ 13.562,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
99;33104638;CIEP 195   Anibal Machado;01.598.691/0001-30;2751 - 0000320145; R$ 4.807,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
100;33110646;CIEP 323 Maria Werneck de Castro ;03.150.514/0001-11;2507 - 0000323624; R$ 24.866,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
101;33097038;CIEP 326 Professor Cesar Pernetta;02.061.907/0001-96;1240 - 0000042617; R$ 16.488,00 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
102;33128235;CIEP 339 Mário Tamborideguy;05.030.084/0001-20;1107 - 0000054755; R$ 20.865,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
103;33105219;CIEP 379 Raul Seixas;02.755.227/0001-72;2845 - 0000134082; R$ 9.023,60 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
104;33075166;IE Carmela Dutra ;30.871.701/0001-67;2790 - 0000265225; R$ 29.358,20 ;2021NE01444;2021NL01491;2021PD01812;2021LB17932
104;;RIO DE JANEIRO;;; R$ 862.869,00 ;;;;
104;;TOTAL DA REGIONAL METROPOLITANA III;;; R$ 862.869,00 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA IV;;;;;;;
ITEM;código;ITAGUAÍ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33044929;CE Clodomiro Vasconcelos;01.371.231/0001-74;1542 - 0000463140; R$ 16.405,60 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
2;33045062;CE José Maria de Brito;01.276.461/0001-54;1310 - 0000129364; R$ 8.764,40 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
3;33137846;CE Maria Izabel do Couto Brandão;08.751.960/0001-03;1310 - 0000129305; R$ 4.302,00 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
4;33045070;CE Piranema;01.287.469/0001-16;1310 - 000014200P; R$ 7.125,80 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
5;33044953;CE Professor Ney Cidade Palmeiro;01.180.808/0001-60;1310 - 0000129399; R$ 5.302,60 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
6;33044961;CE Professora Eliana de Almeida Santos;01.158.359/0001-54;1310 - 0000129127; R$ 6.233,20 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
7;33045089;CE Sandra Roldan Barboza;01.307.620/0001-30;1542 - 0000463124; R$ 2.643,60 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
8;33044899;CIEP 048 Djalma Maranhão;01.304.233/0001-40;1310 - 0000200409; R$ 6.207,80 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
9;33097135;CIEP 329 Juan Martinho Carrasco;01.935.150/0001-50;1310 - 0000129380; R$ 9.599,60 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
10;33045291;CIEP 368 João Conceição Canuto;01.916.209/0001-62;1542 - 0000462942; R$ 6.631,60 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
11;33044880;CIEP 498 Irmã Dulce;01.210.555/0001-20;1310 - 0000200352; R$ 11.512,80 ;2021NE01575;2021NL01518;2021PD01878;2021LB17962
11;;ITAGUAÍ;;; R$ 84.729,00 ;;;;
ITEM;código;RIO DE JANEIRO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33100659;CAIC Nações Unidas;02.437.159/0001-01;0868 - 0000068209; R$ 13.727,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
2;33079331;CE Agostinho Neto ;00.815.892/0001-89;6690 - 0000013102; R$ 5.162,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
3;33136459;CE Alba Canizares do Nascimento ;11.358.377/0001-33;6874 - 0000001104; R$ 4.170,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
4;33062250;CE Aldebarã ;12.138.019/0001-88;1700 - 0000725625; R$ 4.650,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
5;33082227;CE Almirante Frontin ;12.555.308/0001-82;0552 - 0005462576; R$ 3.829,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
6;33082235;CE Amazonas;03.215.481/0001-40;2751 - 0000299308; R$ 8.318,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
7;33079340;CE Bangu ;01.014.105/0001-62;0955 - 59323; R$ 31.040,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
8;33128600;CE Barão de Itararé ;15.839.726/0001-90;6876 - 0000015849; R$ 4.148,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
9;33082251;CE Barão de Santa Margarida  ;11.302.006/0001-30;6870 - 0000000132; R$ 4.912,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
10;33084238;CE Barão do Rio Branco ;01.808.979/0001-91;6735 - 0000001902; R$ 31.628,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
11;33079668;CE Baronesa de Sáavedra  ;12.909.075/0001-79;2802 - 0000146161; R$ 2.747,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
12;33149119;CE Carlos Arnoldo Abruzzini da Fonseca;11.357.637/0001-56;6735 - 0000001767; R$ 23.872,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
13;33128618;CE Carlos Magno Nazareth Cerqueira ;11.876.643/0001-10;1700 - 0000725129; R$ 6.734,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
14;33062293;CE Charles Dickens ;02.794.398/0001-00;2751 - 0000299200; R$ 2.883,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
15;33086737;CE Coelho Neto;02.828.605/0001-09;6872 - 0000002151; R$ 2.473,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
16;33079358;CE Collechio ;02.836.874/0001-09;6868 - 0000031429; R$ 22.078,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
17;33125341;CE Cora Coralina ;11.306.194/0001-74;2751 - 0000299707; R$ 3.817,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
18;33079692;CE Cristóvão Colombo  ;12.247.356/0001-03;1453 - 0000687405; R$ 3.693,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
19;33079706;CE Dalva de Oliveira;14.564.782/0001-04;2490 - 0000405604; R$ 3.019,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
20;33088420;CE Deborah Mendes de Moraes;02.796.709/0001-70;6735 - 0000002283; R$ 7.009,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
21;33082146;CE Doutor Albert Sabin  ;01.421.532/0001-65;6728 - 0000001767; R$ 27.341,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
22;33079714;CE Engenheiro João Thomé  ;02.424.396/0001-20;6554 - 0000002658; R$ 3.499,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
23;33157065;CE Erich Walter Heiner;14.798.741/0001-74;1700 - 0000726940; R$ 15.314,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
24;33079722;CE Estado de Israel  ;11.910.800/0001-66;2490 - 0000405574; R$ 3.214,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
25;33082022;CE Francisco Caldeira de Alvarenga ;02.783.053/0001-51;6728 - 0000001805; R$ 13.149,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
26;33082030;CE Freire Alemão ;03.698.496/0001-07;0552 - 0001462466; R$ 2.655,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
27;33136483;CE Gandhi  ;11.306.472/0001-93;2751 - 0000299669; R$ 5.093,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
28;33082286;CE George Washington ;02.656.524/0001-60;0552 - 0001465287; R$ 1.868,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
29;33170150;CE Hebe Camargo;20.476.361/0001-16;0868 - 0000111678; R$ 12.200,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
30;33125333;CE Irineu José Ferreira ;11.879.980/000160;6870 - 0000000205; R$ 14.005,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
31;33082316;CE João Proença;02.596.870/0001-09;6870 - 0000000124; R$ 4.661,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
32;33079943;CE João Salim Miguel ;12.981.495/0001-66;6554 - 0000002348; R$ 8.957,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
33;33079366;CE Jorge Zarur;11.359.300/0001-88;0955 - 0000059374; R$ 13.815,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
34;33508232;CE Jornalista Artur da Távola;12.646.638/0001-83;6735 - 0000001686; R$ 7.145,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
35;33079374;CE Leopoldina da Silveira ;02.166.359/0001-69;2802 - 0000146064; R$ 21.498,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
36;33136696;CE Liberdade;15.839.786/0001-02;6735 - 0000013722; R$ 5.264,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
37;33126747;CE Madre Teresa de Calcutá ;13.686.053/0001-50;6690 - 0000013170; R$ 15.738,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
38;33127514;CE Marechal Rondon ;12.054.275/0001-97;2490 - 0000405582; R$ 5.344,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
39;33079803;CE Marieta Cunha da Silva ;13.820.152/0001-82;0955 - 0000060690; R$ 6.735,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
40;33079811;CE Milton Campos;02.747.834/0001-90;6868 - 0000001813; R$ 5.332,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
41;33125627;CE Ministro Marcos Freire ;12.391.524/0001-30;1700 - 0000733202; R$ 5.822,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
42;33125304;CE Missionário Mário Way;12.165.150/0001-34;3248 - 0000133396; R$ 25.662,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
43;33079820;CE Moacyr Padilha  ;13.820.281/0001-70;6554 - 0000012475; R$ 3.488,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
44;33136475;CE Monsenhor Miguel de Santa Maria Marchon  ;07.964.577/0001-62;0955 - 0000059501; R$ 6.233,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
45;33082324;CE Monteiro Lobato  ;12.286.479/0001-53;6728 - 0000001759; R$ 4.457,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
46;33079382;CE Nicarágua;13.892.197/0001-62;6889 - 0000004014; R$ 4.206,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
47;33084459;CE Pestalozzi;18.719.754/0001-61;6876 - 0000022969; R$ 6.177,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
