REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
3;33028192;CE José Rascão;01.124.968/0001-92;1899 - 0000204692; R$ 4.979,00 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
4;33028540;CE Nobu Yamagata;01.313.901/0001-04;1899 - 0000204374; R$ 6.701,40 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
5;33028109;CIEP 146 Professor Cordelino Teixeira Paulo ;00.835.571/0001-46;1899 - 0000204030; R$ 12.414,60 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
6;33028087;CIEP 262 Curvelina Dias Curvello;01.260.093/0001-56;1899 - 0000204536; R$ 15.220,00 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
7;33028095;CIEP 272 Gabriel Joaquim dos Santos;00.914.919/0001-90;1899 - 0000204463; R$ 10.319,00 ;2021NE01593;2021NL01535;2021PD01887;2021LB17917
7;;SÃO PEDRO DA ALDEIA;;; R$ 76.395,00 ;;;;
ITEM;código;SAQUAREMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33029164;CE Ducler Laureano Matos;01.258.196/0001-81;0; R$ 3.440,60 ;2021NE01418;2021NL01475;2021PD01813;IMPEDIDA
2;33558221;CE Ismênia de Barros Barroso;22.686.484/0001-07;2122 - 0000194271; R$ 3.600,00 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
3;33028958;CE Oliveira Viana;00.945.835/0001-14;2122 - 0000188344; R$ 5.649,80 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
4;33028729;CE Oscar de Macedo Soares;00.945.833/0001-25;2122 - 0000188328; R$ 8.747,60 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
5;33028974;CE Rio de Areia ;01.241.216/0001-01;2122 - 0000188182; R$ 5.876,20 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
6;33104204;CIEP 258 Astrogildo Pereira;00.945.841/0001-71;2122 - 0000188301; R$ 17.627,60 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
7;33028702;CIEP 372 Paulo Leminski;10.290.879/0001-07;2122 - 0000188379; R$ 4.378,80 ;2021NE01412;2021NL01478;2021PD01814;2021LB17916
7;;SAQUAREMA;;; R$ 49.320,60 ;;;;
96;;TOTAL DA REGIONAL BAIXADAS LITORÂNEAS;;; R$ 876.704,60 ;;;;
;;DIRETORIA REGIONAL CENTRO SUL;;;;;;;
ITEM;código;BARRA DO PIRAÍ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33034869;CE Adelino Terra;00.729.049/0001-80;0555 - 0000406953; R$ 4.109,40 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
2;33034311;CE Barão do Rio Bonito;00.670.949/0001-07;0555 - 0000408077; R$ 12.355,20 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
3;33034443;CE Doutor Álvaro Rocha;00.705.199/0001-53;0555 - 0000406872; R$ 4.331,20 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
4;33034494;CE Joaquim de Macedo;00.715.873/0001-80;0555 - 0000406767; R$ 11.585,20 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
5;33034320;CE Nilo Peçanha;00.656.634/0001-05;0555 - 0000406899; R$ 13.755,20 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
6;33034540;CE Professor José Antônio Maia Vinagre;00.732.657/0001-43;0555 - 0000406813; R$ 3.805,20 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
7;33034508;CE Senador Paulo Fernandes;00.721.596/0001-19;0555 - 0000406970; R$ 5.430,80 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
8;33034516;EE Padre Antônio Pinto;00.752.531/0001-30;0555 - 0000408042; R$ 3.400,00 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
9;33094420;CIEP 286 Murilo Portugal;00.751.985/0001-97;0555 - 0000408093; R$ 9.338,40 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
10;33034273;CIEP 287 Angelina Teixeira Sym;00.759.935/0001-56;0555 - 0000414484; R$ 5.914,40 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
11;33098573;CIEP 310 Professora Alice Alex;00.715.880/0001-82;0555 - 0000408123; R$ 6.830,60 ;2021NE01420;2021NL01488;2021PD01815;2021LB17935
11;;BARRA DO PIRAÍ;;; R$ 80.855,60 ;;;;
ITEM;código;ENGENHEIRO PAULO DE FRONTIN;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33038040;CE João Kopke;00.704.257/0001-24;6787 - 0000050407; R$ 6.868,20 ;2021NE01432;2021NL01492;2021PD01816;IMPEDIDA
2;33038180;CE Sacra Família do Tinguá ;00.708.567/0001-17;6787 - 0000050393; R$ 1.700,00 ;2021NE01425;2021NL01494;2021PD01817;
2;;ENGENHEIRO PAULO DE FRONTIN;;; R$ 8.568,20 ;;;;
ITEM;código;MENDES;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33038260;CE Doutor João Nery ;00.709.708/0001-16;6787 - 0000001600; R$ 5.767,20 ;2021NE01445;2021NL01495;2021PD01823;2021LB17937
2;33038228;CE Professor Aragão Gomes;00.709.705/0001-82;6787 - 0000001457; R$ 6.768,40 ;2021NE01445;2021NL01495;2021PD01823;2021LB17937
2;;MENDES;;; R$ 12.535,60 ;;;;
ITEM;código;MIGUEL PEREIRA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33038791;CE Álvaro Alvim;00.649.931/0001-15;1394 - 0000141330; R$ 6.478,00 ;2021NE01453;2021NL01496;2021PD01824;2021LB17938
2;33038724;CE Carmem de Luca Andreiolo;01.125.139/0001-24;1394 - 0000141305; R$ 3.244,80 ;2021NE01453;2021NL01496;2021PD01824;2021LB17938
3;33038473;CE Doutor Antônio Fernandes;00.704.252/0001-00;1394 - 0000141372; R$ 8.061,00 ;2021NE01453;2021NL01496;2021PD01824;2021LB17938
4;33038589;CE Vera Cruz ;00.993.226/0001-30;1394 - 0000141321; R$ 1.700,00 ;2021NE01453;2021NL01496;2021PD01824;2021LB17938
4;;MIGUEL PEREIRA;;; R$ 19.483,80 ;;;;
ITEM;código;PARACAMBI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33038929;CE Presidente Rodrigues Alves;00.802.557/0001-46;6792 - 0000001872; R$ 10.372,00 ;2021NE01456;2021NL01497;2021PD01827;2021LB17939
2;33038880;CIEP 152 Garrincha Alegria do Povo;00.863.554/0001-12;6792 - 0000001864; R$ 8.945,40 ;2021NE01456;2021NL01497;2021PD01827;2021LB17939
3;33038872;CIEP 500 Antônio Botelho;00.863.553/0001-78;6792 - 0000001600; R$ 5.907,80 ;2021NE01456;2021NL01497;2021PD01827;2021LB17939
3;;PARACAMBI;;; R$ 25.225,20 ;;;;
ITEM;código;PARAÍBA DO SUL;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33017646;CE Barão de Palmeiras;00.747.703/0001-88;2054 - 0000144126; R$ 5.262,80 ;2021NE01458;2021NL01498;2021PD01828;2021LB17940
2;33017522;CE Bezerra de Menezes;00.725.031/0001-00;2054 - 0000144053; R$ 7.102,20 ;2021NE01458;2021NL01498;2021PD01828;2021LB17940
3;33017492;CE Lions Clube de Paraíba do Sul;00.747.702/0001-33;2054 - 0000144088; R$ 4.981,60 ;2021NE01458;2021NL01498;2021PD01828;2021LB17940
4;33017093;CE Maria Zulmira Torres;00.821.888/0001-23;2054 - 0000144070; R$ 4.650,40 ;2021NE01458;2021NL01498;2021PD01828;2021LB17940
5;33017107;CE Monsenhor Francisco;00.695.917/0001-58;2054 - 0000144100; R$ 8.381,00 ;2021NE01458;2021NL01498;2021PD01828;2021LB17940
5;;PARAÍBA DO SUL;;; R$ 30.378,00 ;;;;
ITEM;código;PATY DO ALFERES;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33039186;CE Edmundo Peralta Bernardes;00.649.901/0001-09;6793 - 0000000868; R$ 6.915,80 ;2021NE01460;2021NL01499;2021PD01830;2021LB17941
2;33039402;CE Ribeiro de Avelar;00.704.250/0001-02;6793 - 0000000841; R$ 5.336,20 ;2021NE01460;2021NL01499;2021PD01830;2021LB17941
3;33103771;CIEP 278 Joaquim Osório Duque Estrada;00.764.385/0001-63;6793 - 0000000795; R$ 12.120,60 ;2021NE01460;2021NL01499;2021PD01830;2021LB17941
3;;PATY DO ALFERES;;; R$ 24.372,60 ;;;;
ITEM;código;RIO DAS FLORES;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33035334;CE Nephitalina Carvalho Ávila ;00.755.042/0001-32;1547 - 0001300580; R$ 1.700,00 ;2021NE01463;2021NL01500;2021PD01833;2021LB17942
2;33035059;CE Manuel Duarte;00.622.450/0001-16;1547 - 0001300598; R$ 6.627,80 ;2021NE01463;2021NL01500;2021PD01833;2021LB17942
2;;RIO DAS FLORES;;; R$ 8.327,80 ;;;;
ITEM;código;VALENÇA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33036071;CE Alfredo Gomes;00.727.536/0001-03;1547 - 0000275824; R$ 1.700,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
2;33035628;CE Almirante Rodrigues Silva;00.730.125/0001-77;1547 - 0001200828; R$ 4.276,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
3;33036209;CE Arnor Silvestre Vieira;00.800.410/0001-17;1547 - 0001200879; R$ 4.775,60 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
4;33036004;CE Barão de Juparanã;00.766.991/0001-18;1632 - 0000144070; R$ 4.054,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
5;33035644;CE Coronel Benjamin Guimarães;29.827.912/0001-13;1547 - 0000275905; R$ 6.725,20 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
6;33036519;CE Doutor Guilherme Milward;00.629.167/0001-16;1547 - 0000275883; R$ 4.858,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
7;33035679;CE Doutor Oswaldo Terra;00.709.712/0001-84;1547 - 0001200844; R$ 4.918,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
8;33035458;CE José Fonseca;00.784.403/0001-79;1547 - 0001200887; R$ 9.030,00 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
9;33035962;CE Padre Sebastião da Silva Pereira;00.704.248/0001-33;1547 - 0001200860; R$ 6.490,20 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
10;33035466;CE Theodorico Fonseca;29.805.538/0001-55;1547 - 0001200801; R$ 7.758,80 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
11;33035407;CIA Monsenhor Tomás Tejerina de Prado;01.659.617/0001-86;1547 - 0001200852; R$ 10.277,60 ;2021NE01464;2021NL01501;2021PD01835;2021LB17943
11;;VALENÇA;;; R$ 64.863,40 ;;;;
ITEM;código;VASSOURAS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33039585;CE Antônio de Jesus Gomes;00.755.053/0001-12;0555 - 0000408247; R$ 4.549,00 ;2021NE01468;2021NL01502;2021PD01837;2021LB17944
